loss: 21.284116745, bleu: 0.66218125, gleu: 0.673651237438, ribes: 0.1247851212, chrf: 0.76973937947
loss: 28.2034091949, bleu: 0.656071875, gleu: 0.667809854995, ribes: 0.0930411288166, chrf: 0.760002985753
loss: 14.5483999252, bleu: 0.72435, gleu: 0.733491617056, ribes: 0.0624720982143, chrf: 0.809634891417
loss: 20.0167350769, bleu: 0.72600625, gleu: 0.733781111157, ribes: 0.03125, chrf: 0.811558081909
loss: 14.0341243744, bleu: 0.7254375, gleu: 0.734997137509, ribes: 0.03125, chrf: 0.819461163578
loss: 18.6884918213, bleu: 0.746590625, gleu: 0.752563602906, ribes: 0.125, chrf: 0.821044499205
loss: 11.5696296692, bleu: 0.768125, gleu: 0.776028538388, ribes: 0.156204044118, chrf: 0.83702622971
loss: 16.7062988281, bleu: 0.752371875, gleu: 0.758099380835, ribes: 0.0625, chrf: 0.827386305425
loss: 11.2520236969, bleu: 0.754675, gleu: 0.764951664022, ribes: 0.249553571429, chrf: 0.82528577754
loss: 15.0257568359, bleu: 0.7642, gleu: 0.770470827557, ribes: 0.216710434174, chrf: 0.843033150471
loss: 10.4261522293, bleu: 0.770453125, gleu: 0.778326999462, ribes: 0.21875, chrf: 0.832733948795
loss: 15.7751331329, bleu: 0.763840625, gleu: 0.769604844662, ribes: 0.0917104341737, chrf: 0.834316541429
loss: 10.9552021027, bleu: 0.75011875, gleu: 0.759093118193, ribes: 0.12443977591, chrf: 0.823570318422
loss: 15.9445915222, bleu: 0.7630375, gleu: 0.768551959195, ribes: 0.09375, chrf: 0.829991758935
loss: 9.46938610077, bleu: 0.793103125, gleu: 0.801670774777, ribes: 0.21875, chrf: 0.864738885678
loss: 15.3101024628, bleu: 0.76390625, gleu: 0.769367306566, ribes: 0.0917104341737, chrf: 0.837059496387
loss: 9.39562988281, bleu: 0.780190625, gleu: 0.789268616662, ribes: 0.21875, chrf: 0.844494220393
loss: 14.8975152969, bleu: 0.76395, gleu: 0.770175853457, ribes: 0.216710434174, chrf: 0.83544157725
loss: 10.5698795319, bleu: 0.749228125, gleu: 0.762441843792, ribes: 0.230375802457, chrf: 0.825155958567
loss: 15.8179273605, bleu: 0.73289375, gleu: 0.738095141354, ribes: 0.124894127612, chrf: 0.805111986774
loss: 13.8932352066, bleu: 0.7410328125, gleu: 0.749828481174, ribes: 0.112017117907, chrf: 0.820609096872
loss: 14.643989563, bleu: 0.72198203125, gleu: 0.730320299532, ribes: 0.101503837535, chrf: 0.803098416705
loss: 9.14215278625, bleu: 0.780065625, gleu: 0.789121653527, ribes: 0.21875, chrf: 0.848482611187
loss: 14.4325590134, bleu: 0.7613625, gleu: 0.767174791607, ribes: 0.15625, chrf: 0.831897476966
loss: 9.46824359894, bleu: 0.775396875, gleu: 0.783083182765, ribes: 0.21875, chrf: 0.838113495484
loss: 14.8963413239, bleu: 0.75904375, gleu: 0.764424006813, ribes: 0.09375, chrf: 0.836552328608
loss: 8.41197395325, bleu: 0.783065625, gleu: 0.791315250433, ribes: 0.28125, chrf: 0.847459448218
loss: 13.1292610168, bleu: 0.765296875, gleu: 0.771658469075, ribes: 0.25, chrf: 0.833539193404
loss: 8.12790203094, bleu: 0.782875, gleu: 0.791945721211, ribes: 0.21875, chrf: 0.849305161708
loss: 12.5566167831, bleu: 0.767640625, gleu: 0.772762729606, ribes: 0.125, chrf: 0.849685474703
loss: 8.15886116028, bleu: 0.77254375, gleu: 0.783053014094, ribes: 0.335650569396, chrf: 0.829974879845
loss: 13.2874851227, bleu: 0.76795, gleu: 0.773280710717, ribes: 0.09375, chrf: 0.839528007057
loss: 8.59189414978, bleu: 0.7989125, gleu: 0.806152642742, ribes: 0.25, chrf: 0.856005752018
loss: 14.1983118057, bleu: 0.76801875, gleu: 0.773890001372, ribes: 0.09375, chrf: 0.839765991816
loss: 7.87776374817, bleu: 0.77900625, gleu: 0.788003241916, ribes: 0.343714985994, chrf: 0.847697904776
loss: 12.9353132248, bleu: 0.763021875, gleu: 0.768395660025, ribes: 0.15625, chrf: 0.84676074383
loss: 7.11313772202, bleu: 0.8066875, gleu: 0.815718813949, ribes: 0.437464985994, chrf: 0.862019727916
loss: 12.0657567978, bleu: 0.77460625, gleu: 0.780633304899, ribes: 0.24975052521, chrf: 0.84382816476
loss: 7.22515153885, bleu: 0.791940625, gleu: 0.801107057378, ribes: 0.25, chrf: 0.855140632452
loss: 12.2581243515, bleu: 0.774884375, gleu: 0.780107741696, ribes: 0.09375, chrf: 0.845196974628
loss: 7.52645301819, bleu: 0.798665625, gleu: 0.806969702264, ribes: 0.343714985994, chrf: 0.854153952619
loss: 12.3661928177, bleu: 0.788975, gleu: 0.794891322316, ribes: 0.187473531903, chrf: 0.853348364673
loss: 9.49502658844, bleu: 0.78755390625, gleu: 0.794615349931, ribes: 0.234362669347, chrf: 0.850083404142
loss: 11.1353816986, bleu: 0.76866484375, gleu: 0.776721635923, ribes: 0.187493382976, chrf: 0.840546446651
loss: 7.37398099899, bleu: 0.8139, gleu: 0.821580040599, ribes: 0.40625, chrf: 0.86515413653
loss: 11.881816864, bleu: 0.78135, gleu: 0.787008180472, ribes: 0.15625, chrf: 0.855213740924
loss: 7.13033771515, bleu: 0.816215625, gleu: 0.823659896617, ribes: 0.34375, chrf: 0.864402445202
loss: 11.1495065689, bleu: 0.773203125, gleu: 0.779365471692, ribes: 0.09375, chrf: 0.844218334958
loss: 10.2819919586, bleu: 0.725328125, gleu: 0.742016858562, ribes: 0.187053571429, chrf: 0.800948256459
loss: 17.7488918304, bleu: 0.70798125, gleu: 0.718178832105, ribes: 0.152322752841, chrf: 0.806219430587
loss: 7.71662092209, bleu: 0.805840625, gleu: 0.813595586393, ribes: 0.312438423645, chrf: 0.863435995573
loss: 11.5885715485, bleu: 0.77911875, gleu: 0.784240012938, ribes: 0.15625, chrf: 0.844419662992
loss: 7.43595647812, bleu: 0.80698125, gleu: 0.815380246339, ribes: 0.375, chrf: 0.863103930544
loss: 11.3712425232, bleu: 0.779709375, gleu: 0.78513445825, ribes: 0.125, chrf: 0.845846094464
loss: 7.19826173782, bleu: 0.817815625, gleu: 0.824958643981, ribes: 0.34375, chrf: 0.865794410414
loss: 11.5837478638, bleu: 0.776646875, gleu: 0.781746146949, ribes: 0.09375, chrf: 0.846344478678
loss: 6.3744468689, bleu: 0.809175, gleu: 0.816253790746, ribes: 0.3125, chrf: 0.865363060542
loss: 11.2565164566, bleu: 0.782759375, gleu: 0.788164153385, ribes: 0.156223531903, chrf: 0.851177801953
loss: 7.16497945786, bleu: 0.80224375, gleu: 0.810460725214, ribes: 0.28125, chrf: 0.859482632082
loss: 11.8356237411, bleu: 0.775, gleu: 0.780426256437, ribes: 0.0937235319029, chrf: 0.850260736605
loss: 7.39896965027, bleu: 0.78654375, gleu: 0.797140882366, ribes: 0.3125, chrf: 0.85192368276
loss: 11.4791307449, bleu: 0.782525, gleu: 0.787627718703, ribes: 0.125, chrf: 0.847965228371
loss: 7.02238559723, bleu: 0.817228125, gleu: 0.825053360213, ribes: 0.34375, chrf: 0.872822414921
loss: 10.7942409515, bleu: 0.78685, gleu: 0.793034640552, ribes: 0.15625, chrf: 0.853779002426
loss: 8.73882293701, bleu: 0.798890625, gleu: 0.805375943173, ribes: 0.2421875, chrf: 0.864648649226
loss: 9.96176815033, bleu: 0.776671875, gleu: 0.784705264912, ribes: 0.203125, chrf: 0.842778500444
loss: 6.91299533844, bleu: 0.799575, gleu: 0.806502754006, ribes: 0.375, chrf: 0.859817975327
loss: 10.9768781662, bleu: 0.78144375, gleu: 0.787708148063, ribes: 0.1875, chrf: 0.846186014817
loss: 6.02038955688, bleu: 0.820828125, gleu: 0.828691309741, ribes: 0.375, chrf: 0.874812743354
loss: 10.8300924301, bleu: 0.77273125, gleu: 0.778852741058, ribes: 0.15625, chrf: 0.843207999054
loss: 6.54017829895, bleu: 0.815115625, gleu: 0.823278350721, ribes: 0.46875, chrf: 0.863689989963
loss: 10.2508106232, bleu: 0.778715625, gleu: 0.78434844126, ribes: 0.125, chrf: 0.846454188878
loss: 6.55127716064, bleu: 0.81119375, gleu: 0.818554052566, ribes: 0.34375, chrf: 0.862838519564
loss: 10.568321228, bleu: 0.796315625, gleu: 0.801716676755, ribes: 0.1875, chrf: 0.857223715306
loss: 6.99127197266, bleu: 0.808540625, gleu: 0.817181328024, ribes: 0.374851190476, chrf: 0.864951366678
loss: 10.0761947632, bleu: 0.788665625, gleu: 0.795064491579, ribes: 0.15625, chrf: 0.85600529662
loss: 6.94376707077, bleu: 0.78504375, gleu: 0.794822134924, ribes: 0.312351190476, chrf: 0.85750306423
loss: 10.6664037704, bleu: 0.781975, gleu: 0.787872369019, ribes: 0.09375, chrf: 0.856784218726
loss: 6.37704563141, bleu: 0.8313375, gleu: 0.839812231269, ribes: 0.499851190476, chrf: 0.881868772772
loss: 10.0369262695, bleu: 0.783353125, gleu: 0.788591379089, ribes: 0.125, chrf: 0.848170668591
loss: 6.668197155, bleu: 0.8197, gleu: 0.827596474537, ribes: 0.34375, chrf: 0.870880012264
loss: 10.6190385818, bleu: 0.78148125, gleu: 0.788215885725, ribes: 0.09375, chrf: 0.856439198766
loss: 8.34502029419, bleu: 0.7820875, gleu: 0.791505725441, ribes: 0.342943945471, chrf: 0.846209083017
loss: 11.7732620239, bleu: 0.750446875, gleu: 0.757770494213, ribes: 0.249793804985, chrf: 0.835254088609
loss: 6.8844332695, bleu: 0.817571875, gleu: 0.825210659922, ribes: 0.28125, chrf: 0.876401135253
loss: 10.2145757675, bleu: 0.783375, gleu: 0.788319564231, ribes: 0.125, chrf: 0.851451909212
loss: 8.83327198029, bleu: 0.802190625, gleu: 0.809105437308, ribes: 0.249331900228, chrf: 0.861453345246
loss: 10.0147151947, bleu: 0.771996875, gleu: 0.779884433198, ribes: 0.171875, chrf: 0.842298243142
loss: 7.94516658783, bleu: 0.79328125, gleu: 0.800802353093, ribes: 0.311208162242, chrf: 0.851558592837
loss: 9.96681976318, bleu: 0.78634375, gleu: 0.792477615618, ribes: 0.21875, chrf: 0.852669088557
loss: 6.99062395096, bleu: 0.785078125, gleu: 0.795039703042, ribes: 0.34375, chrf: 0.854309117957
loss: 8.91645717621, bleu: 0.791965625, gleu: 0.798073800258, ribes: 0.1875, chrf: 0.863677393945
loss: 7.27550983429, bleu: 0.794290625, gleu: 0.802842481121, ribes: 0.310819327731, chrf: 0.859515923421
loss: 9.57488536835, bleu: 0.7902125, gleu: 0.795805068639, ribes: 0.125, chrf: 0.856092315714
loss: 6.88447237015, bleu: 0.79884375, gleu: 0.808252301158, ribes: 0.28125, chrf: 0.860912024432
loss: 9.65524482727, bleu: 0.79575625, gleu: 0.800855530355, ribes: 0.21875, chrf: 0.859565368533
loss: 6.71942615509, bleu: 0.82183125, gleu: 0.830478544494, ribes: 0.34375, chrf: 0.878447662505
loss: 9.7868719101, bleu: 0.787415625, gleu: 0.792780268551, ribes: 0.15625, chrf: 0.85898215834
