loss: 75.7947921753, bleu: 0.0, gleu: 0.0200559701493, ribes: 0.0, chrf: 0.178644081332
loss: 77.5195846558, bleu: 0.0, gleu: 0.0188899253731, ribes: 0.0, chrf: 0.159888051005
loss: 71.7383270264, bleu: 0.0, gleu: 0.0111940298507, ribes: 0.0, chrf: 0.133943241774
loss: 72.5523452759, bleu: 0.0, gleu: 0.00956156716418, ribes: 0.0, chrf: 0.12275735201
loss: 69.4797515869, bleu: 0.0, gleu: 0.0238125252118, ribes: 0.0, chrf: 0.116746180395
loss: 71.1035461426, bleu: 0.0, gleu: 0.0188773194837, ribes: 0.0, chrf: 0.109745561817
loss: 68.7776641846, bleu: 0.0, gleu: 0.0227020397263, ribes: 0.0, chrf: 0.128368772166
loss: 68.2654953003, bleu: 0.0, gleu: 0.0194462186067, ribes: 0.0, chrf: 0.130537401021
loss: 66.5434341431, bleu: 0.0, gleu: 0.0273048234802, ribes: 0.0, chrf: 0.140393043099
loss: 67.1185073853, bleu: 0.0, gleu: 0.0231007593414, ribes: 0.0, chrf: 0.144036821313
loss: 66.1203536987, bleu: 0.0, gleu: 0.0268825261829, ribes: 0.0, chrf: 0.13990424874
loss: 67.3876266479, bleu: 0.0, gleu: 0.022944352935, ribes: 0.0, chrf: 0.143524991517
loss: 66.1752700806, bleu: 0.0, gleu: 0.0302468177002, ribes: 0.0, chrf: 0.151732150802
loss: 66.2779769897, bleu: 0.0, gleu: 0.0258236314673, ribes: 0.0, chrf: 0.160700121552
loss: 65.8497161865, bleu: 0.0, gleu: 0.0333642218039, ribes: 0.0, chrf: 0.155969663473
loss: 66.2583465576, bleu: 0.0, gleu: 0.0251527729441, ribes: 0.0, chrf: 0.155921966983
loss: 63.4440116882, bleu: 0.0, gleu: 0.037560545848, ribes: 0.0, chrf: 0.1644296846
loss: 65.010848999, bleu: 0.0, gleu: 0.0288125302064, ribes: 0.0, chrf: 0.164259301427
loss: 62.7209625244, bleu: 0.0, gleu: 0.0451617237998, ribes: 0.0, chrf: 0.189064861489
loss: 63.3824424744, bleu: 0.0, gleu: 0.0326249459545, ribes: 0.0, chrf: 0.18166262064
loss: 62.217300415, bleu: 0.0, gleu: 0.0483464115814, ribes: 0.0, chrf: 0.199297877557
loss: 63.1438102722, bleu: 0.0, gleu: 0.0335712612675, ribes: 0.0, chrf: 0.18299249003
loss: 62.3822021484, bleu: 0.0, gleu: 0.0483466289243, ribes: 0.0, chrf: 0.198700068542
loss: 63.6764144897, bleu: 0.0, gleu: 0.0335564711317, ribes: 0.0, chrf: 0.181146185579
loss: 61.8516960144, bleu: 0.0, gleu: 0.056639025389, ribes: 0.0, chrf: 0.217986531105
loss: 61.9699401855, bleu: 0.0, gleu: 0.0364050078331, ribes: 0.0, chrf: 0.19681406238
loss: 58.4807853699, bleu: 0.0, gleu: 0.0573749462828, ribes: 0.0, chrf: 0.223406813522
loss: 61.4149360657, bleu: 0.0, gleu: 0.0420521012872, ribes: 0.0, chrf: 0.207380900798
loss: 60.8808326721, bleu: 0.0, gleu: 0.0565878378378, ribes: 0.0, chrf: 0.215858169823
