loss: 79.8575515747, bleu: 0.0, gleu: 0.00816231343284, ribes: 0.0, chrf: 0.11280997908
loss: 81.0279388428, bleu: 0.0, gleu: 0.00862873134328, ribes: 0.0, chrf: 0.115972958127
loss: 75.5776138306, bleu: 0.0, gleu: 0.00699626865672, ribes: 0.0, chrf: 0.11012751488
loss: 76.881362915, bleu: 0.0, gleu: 0.00862873134328, ribes: 0.0, chrf: 0.115465225231
loss: 71.6662521362, bleu: 0.0, gleu: 0.0179134358239, ribes: 0.0, chrf: 0.106965820128
loss: 75.7015838623, bleu: 0.0, gleu: 0.0141438079871, ribes: 0.0, chrf: 0.089508342677
loss: 70.0536270142, bleu: 0.0, gleu: 0.0165566686089, ribes: 0.0, chrf: 0.109069272828
loss: 71.1295166016, bleu: 0.00880625, gleu: 0.0293843283582, ribes: 0.0, chrf: 0.12021834817
loss: 67.6277923584, bleu: 0.0, gleu: 0.0234434527811, ribes: 0.0, chrf: 0.143703026122
loss: 69.0677642822, bleu: 0.00880625, gleu: 0.0308277027027, ribes: 0.0, chrf: 0.148078089257
loss: 67.6133804321, bleu: 0.0, gleu: 0.0239866732404, ribes: 0.0, chrf: 0.145666506327
loss: 70.5717086792, bleu: 0.00880625, gleu: 0.0317605385236, ribes: 0.0, chrf: 0.149978503925
loss: 67.0087356567, bleu: 0.0, gleu: 0.0251555193253, ribes: 0.0, chrf: 0.160957374373
loss: 68.2358398438, bleu: 0.01478125, gleu: 0.0363348671393, ribes: 0.0, chrf: 0.1702777554
loss: 63.8627853394, bleu: 0.0, gleu: 0.028994055935, ribes: 0.0, chrf: 0.176034323826
loss: 65.7220001221, bleu: 0.017871875, gleu: 0.0405781040783, ribes: 0.0, chrf: 0.17871693155
loss: 64.8354415894, bleu: 0.0, gleu: 0.0436628309938, ribes: 0.0, chrf: 0.198894204177
loss: 66.0701217651, bleu: 0.017871875, gleu: 0.0428502196226, ribes: 0.0, chrf: 0.184630688252
loss: 62.3240661621, bleu: 0.0, gleu: 0.0446720289618, ribes: 0.0, chrf: 0.207774142867
loss: 65.6114196777, bleu: 0.017871875, gleu: 0.0464428104245, ribes: 0.0, chrf: 0.192620915463
loss: 62.6456565857, bleu: 0.0, gleu: 0.0460554376599, ribes: 0.0, chrf: 0.211037908847
loss: 64.2305450439, bleu: 0.017871875, gleu: 0.0533723016715, ribes: 0.0, chrf: 0.215662793858
loss: 61.8574333191, bleu: 0.0, gleu: 0.0457090607006, ribes: 0.0, chrf: 0.211043730145
loss: 63.4613990784, bleu: 0.017871875, gleu: 0.0543422012101, ribes: 0.0, chrf: 0.215997789004
loss: 59.8219947815, bleu: 0.0, gleu: 0.0497030745554, ribes: 0.0, chrf: 0.216409693861
loss: 64.174911499, bleu: 0.017871875, gleu: 0.0478176942729, ribes: 0.0, chrf: 0.196442635267
loss: 60.0304069519, bleu: 0.0, gleu: 0.049400252667, ribes: 0.0, chrf: 0.21914322796
loss: 61.5175094604, bleu: 0.017871875, gleu: 0.0482750239366, ribes: 0.0, chrf: 0.202764035687
loss: 59.2002983093, bleu: 0.0, gleu: 0.0514644382514, ribes: 0.0, chrf: 0.217872396467
loss: 61.7753753662, bleu: 0.0191875, gleu: 0.0535319120043, ribes: 0.0, chrf: 0.212048250181
loss: 60.4541358948, bleu: 0.0, gleu: 0.0564688059083, ribes: 0.0, chrf: 0.222451105055
loss: 61.4123802185, bleu: 0.02009375, gleu: 0.0537690503407, ribes: 0.0, chrf: 0.211666776705
loss: 58.8295211792, bleu: 0.0, gleu: 0.0582002718013, ribes: 0.0, chrf: 0.228150564624
loss: 60.2545204163, bleu: 0.0204, gleu: 0.0565133993526, ribes: 0.0, chrf: 0.217616569893
loss: 59.8957061768, bleu: 0.0, gleu: 0.0578380729025, ribes: 0.0, chrf: 0.22748024986
loss: 60.3050498962, bleu: 0.0204, gleu: 0.0567027050375, ribes: 0.0, chrf: 0.215511691674
loss: 59.0326156616, bleu: 0.0, gleu: 0.0667043320496, ribes: 0.0, chrf: 0.254918232374
loss: 61.9794654846, bleu: 0.0204, gleu: 0.0607867539805, ribes: 0.0, chrf: 0.219871433766
loss: 58.9571228027, bleu: 0.0, gleu: 0.0653682105737, ribes: 0.0, chrf: 0.245058700388
loss: 59.7371635437, bleu: 0.028696875, gleu: 0.0695433057887, ribes: 0.0, chrf: 0.241061703391
loss: 58.7694396973, bleu: 0.0, gleu: 0.0733100447386, ribes: 0.0, chrf: 0.263359238608
loss: 60.7484054565, bleu: 0.0285375, gleu: 0.0802368462079, ribes: 0.0, chrf: 0.251074423457
loss: 58.2632293701, bleu: 0.0, gleu: 0.0736353244786, ribes: 0.0, chrf: 0.262442266998
loss: 59.796333313, bleu: 0.02970625, gleu: 0.0862711821675, ribes: 0.0, chrf: 0.257864306449
loss: 56.7804603577, bleu: 0.0, gleu: 0.0806389981216, ribes: 0.0, chrf: 0.276457820146
loss: 59.4373321533, bleu: 0.030765625, gleu: 0.0866602432806, ribes: 0.0, chrf: 0.258715907146
loss: 56.8315734863, bleu: 0.0, gleu: 0.0807717201293, ribes: 0.0, chrf: 0.275795996774
loss: 59.8551902771, bleu: 0.030765625, gleu: 0.0867518855094, ribes: 0.0, chrf: 0.260908841529
loss: 56.6257667542, bleu: 0.0, gleu: 0.0860676948379, ribes: 0.0, chrf: 0.290540996556
loss: 59.7761268616, bleu: 0.031646875, gleu: 0.0941533193399, ribes: 0.0, chrf: 0.271503042575
loss: 56.8613548279, bleu: 0.0, gleu: 0.0911224863846, ribes: 0.0, chrf: 0.298766222472
loss: 58.4413375854, bleu: 0.033928125, gleu: 0.0988838372522, ribes: 0.0, chrf: 0.2799103106
loss: 55.4328613281, bleu: 0.005940625, gleu: 0.0943521432433, ribes: 0.0, chrf: 0.304464341938
loss: 57.8839759827, bleu: 0.036009375, gleu: 0.103789785598, ribes: 0.0, chrf: 0.285857992495
loss: 55.9812049866, bleu: 0.0, gleu: 0.107199529075, ribes: 0.0, chrf: 0.331305764379
loss: 57.9952163696, bleu: 0.03423125, gleu: 0.11056512625, ribes: 0.0, chrf: 0.309357855125
loss: 56.4286003113, bleu: 0.01634375, gleu: 0.11216472154, ribes: 0.0, chrf: 0.328177586837
loss: 58.9299278259, bleu: 0.034078125, gleu: 0.11340936462, ribes: 0.0, chrf: 0.312122543457
loss: 55.6824760437, bleu: 0.01634375, gleu: 0.112885369135, ribes: 0.0, chrf: 0.333374757866
loss: 58.0624809265, bleu: 0.034078125, gleu: 0.114069695824, ribes: 0.0, chrf: 0.317388232141
