loss: 85.4733428955, bleu: 0.0, gleu: 0.00522388059701, ribes: 0.0, chrf: 0.0938495079316
loss: 88.040512085, bleu: 0.0, gleu: 0.00373134328358, ribes: 0.0, chrf: 0.0952950255481
loss: 81.7009963989, bleu: 0.0, gleu: 0.00889098053277, ribes: 0.0, chrf: 0.0794350140977
loss: 80.8763809204, bleu: 0.0, gleu: 0.00469574051664, ribes: 0.0, chrf: 0.0782755771828
loss: 79.3314666748, bleu: 0.0, gleu: 0.00405405405405, ribes: 0.0, chrf: 0.0132308601973
loss: 80.4207000732, bleu: 0.0, gleu: 0.00185185185185, ribes: 0.0, chrf: 0.0112573267554
loss: 77.9237060547, bleu: 1e-05, gleu: 0.0221863654699, ribes: -0.1, chrf: 0.0888265209273
loss: 80.3973083496, bleu: 0.0, gleu: 0.00810810810811, ribes: 0.0, chrf: 0.0546716440722
loss: 76.7517852783, bleu: 0.0, gleu: 0.020371117386, ribes: 0.0, chrf: 0.127264142866
loss: 75.1650772095, bleu: 0.0, gleu: 0.00750302541347, ribes: 0.0, chrf: 0.0966055291957
loss: 76.7779541016, bleu: 0.0, gleu: 0.0273295683743, ribes: 0.0, chrf: 0.14839035274
loss: 76.0109634399, bleu: 0.0, gleu: 0.00431121419927, ribes: 0.0, chrf: 0.0912074259322
loss: 75.2366638184, bleu: 0.0, gleu: 0.027823431107, ribes: 0.0, chrf: 0.147355241964
loss: 77.1488265991, bleu: 0.0, gleu: 0.0154296087132, ribes: 0.0, chrf: 0.132567918391
loss: 76.6735839844, bleu: 0.0, gleu: 0.0315046389673, ribes: 0.0, chrf: 0.153819363593
loss: 75.5044937134, bleu: 0.0, gleu: 0.0218636546995, ribes: 0.0, chrf: 0.163986867655
loss: 72.1417694092, bleu: 0.0, gleu: 0.0230461805089, ribes: 0.0, chrf: 0.148782755493
loss: 74.1737365723, bleu: 0.0, gleu: 0.0233517645786, ribes: 0.0, chrf: 0.163454761921
loss: 70.376739502, bleu: 0.0, gleu: 0.0353410092326, ribes: 0.0, chrf: 0.172784670018
loss: 72.5514068604, bleu: 0.0, gleu: 0.0336022589754, ribes: 0.0, chrf: 0.181902893809
loss: 71.3375244141, bleu: 0.0, gleu: 0.0323894185963, ribes: 0.0, chrf: 0.161135071302
loss: 72.1490707397, bleu: 0.0, gleu: 0.0436264622832, ribes: 0.0, chrf: 0.226903742988
loss: 68.7150268555, bleu: 0.0, gleu: 0.0396393602039, ribes: 0.0, chrf: 0.181145995507
loss: 68.6382446289, bleu: 0.0, gleu: 0.0470190983572, ribes: 0.0, chrf: 0.239835150828
loss: 71.2535171509, bleu: 0.0, gleu: 0.0364864864865, ribes: 0.0, chrf: 0.166439966471
loss: 65.5573654175, bleu: 0.0, gleu: 0.0374213695375, ribes: 0.0, chrf: 0.21775075333
loss: 68.4582214355, bleu: 0.0, gleu: 0.0391891891892, ribes: 0.0, chrf: 0.172260542547
loss: 70.5129241943, bleu: 0.0, gleu: 0.0449778136345, ribes: 0.0, chrf: 0.220876012733
loss: 67.9418182373, bleu: 0.0, gleu: 0.048299912816, ribes: 0.0, chrf: 0.201313013987
loss: 64.6479110718, bleu: 0.0, gleu: 0.048096621592, ribes: 0.0, chrf: 0.23764323118
loss: 72.1853790283, bleu: 0.0, gleu: 0.0391891891892, ribes: 0.0, chrf: 0.181852833726
