loss: 75.86353302, bleu: 0.0, gleu: 0.0109608208955, ribes: 0.0, chrf: 0.119922284738
loss: 77.1878356934, bleu: 0.0, gleu: 0.0128264925373, ribes: 0.0, chrf: 0.124749503416
loss: 70.1586990356, bleu: 0.0, gleu: 0.013526119403, ribes: 0.0, chrf: 0.136002706778
loss: 70.9699401855, bleu: 0.0, gleu: 0.011427238806, ribes: 0.0, chrf: 0.130386147999
loss: 66.3241424561, bleu: 0.0, gleu: 0.0153035498185, ribes: 0.0, chrf: 0.138930287867
loss: 65.7325439453, bleu: 0.0, gleu: 0.0125491629689, ribes: 0.0, chrf: 0.13490235025
loss: 64.2928314209, bleu: 0.0, gleu: 0.0167721359419, ribes: 0.0, chrf: 0.146022018085
loss: 64.4173965454, bleu: 0.0, gleu: 0.0164254739814, ribes: 0.0, chrf: 0.151025146068
loss: 63.8772544861, bleu: 0.0, gleu: 0.021851142187, ribes: 0.0, chrf: 0.150478509816
loss: 64.4765319824, bleu: 0.00245625, gleu: 0.020712872292, ribes: 0.0, chrf: 0.157596430719
loss: 64.5791931152, bleu: 0.0, gleu: 0.0212283178701, ribes: 0.0, chrf: 0.148414612521
loss: 65.0200958252, bleu: 0.00245625, gleu: 0.0208692786984, ribes: 0.0, chrf: 0.157972492528
loss: 63.5306587219, bleu: 0.0, gleu: 0.0248026744492, ribes: 0.0, chrf: 0.167664341555
loss: 63.435508728, bleu: 0.0, gleu: 0.0259725359291, ribes: 0.0, chrf: 0.169110567456
loss: 61.3452835083, bleu: 0.0, gleu: 0.0284105137957, ribes: 0.0, chrf: 0.173546282644
loss: 64.0138473511, bleu: 0.002790625, gleu: 0.0244542488346, ribes: 0.0, chrf: 0.170062651205
loss: 60.8121871948, bleu: 0.0, gleu: 0.0380766973267, ribes: 0.0, chrf: 0.180332159473
loss: 63.6549530029, bleu: 0.0022875, gleu: 0.0398630622722, ribes: 0.0, chrf: 0.188768595078
loss: 59.6460342407, bleu: 0.0, gleu: 0.0476545432999, ribes: 0.0, chrf: 0.19240367696
loss: 61.7131690979, bleu: 0.0022875, gleu: 0.0448976550277, ribes: 0.0, chrf: 0.197154634089
loss: 59.3256454468, bleu: 0.0, gleu: 0.0460618436914, ribes: 0.0, chrf: 0.189647016371
loss: 60.1166572571, bleu: 0.003740625, gleu: 0.0442021173956, ribes: 0.0, chrf: 0.191298088386
loss: 59.5610733032, bleu: 0.0, gleu: 0.0463901927579, ribes: 0.0, chrf: 0.190930569784
loss: 60.1176681519, bleu: 0.003740625, gleu: 0.0448826846084, ribes: 0.0, chrf: 0.192078051621
loss: 58.9156074524, bleu: 0.0, gleu: 0.0471516775396, ribes: 0.0, chrf: 0.188401407864
loss: 59.325920105, bleu: 0.00393125, gleu: 0.0530005635416, ribes: 0.0, chrf: 0.209657814371
loss: 57.4685249329, bleu: 0.0, gleu: 0.0534611315861, ribes: 0.0, chrf: 0.205769235899
loss: 59.6190490723, bleu: 0.01169375, gleu: 0.0637694454659, ribes: 0.0, chrf: 0.217504793752
loss: 57.3597145081, bleu: 0.0, gleu: 0.051804344369, ribes: 0.0, chrf: 0.212675127069
loss: 58.7542610168, bleu: 0.01569375, gleu: 0.076365958188, ribes: 0.0, chrf: 0.245117917598
loss: 57.3934707642, bleu: 0.0, gleu: 0.0584192146692, ribes: 0.0, chrf: 0.219174183037
loss: 57.7067985535, bleu: 0.015509375, gleu: 0.0792232336661, ribes: 0.0, chrf: 0.248805725892
loss: 57.6970787048, bleu: 0.0, gleu: 0.0707283988534, ribes: 0.0, chrf: 0.250652365028
loss: 57.7518348694, bleu: 0.020984375, gleu: 0.086063992314, ribes: 0.0, chrf: 0.262041112541
loss: 57.0740737915, bleu: 0.0, gleu: 0.0714013500304, ribes: 0.0, chrf: 0.252989750031
loss: 57.9435195923, bleu: 0.0205875, gleu: 0.0859911484911, ribes: 0.0, chrf: 0.261340322624
loss: 56.9236679077, bleu: 0.0, gleu: 0.070784811309, ribes: 0.0, chrf: 0.250924754421
loss: 55.3903236389, bleu: 0.015728125, gleu: 0.0929446700095, ribes: 0.0, chrf: 0.272857949378
loss: 56.838394165, bleu: 0.0, gleu: 0.07611003861, ribes: 0.0, chrf: 0.265653696349
loss: 56.5232391357, bleu: 0.02194375, gleu: 0.0976079445174, ribes: 0.0, chrf: 0.281997763405
loss: 54.8867797852, bleu: 0.0, gleu: 0.0863269794721, ribes: 0.0, chrf: 0.291160720155
loss: 56.6548614502, bleu: 0.026321875, gleu: 0.106385735922, ribes: 0.0, chrf: 0.295602738014
loss: 55.7339401245, bleu: 0.0, gleu: 0.0976158985232, ribes: 0.0, chrf: 0.308638135006
