loss: 77.0733566284, bleu: 0.0, gleu: 0.00746268656716, ribes: 0.0, chrf: 0.111924781043
loss: 78.440032959, bleu: 0.0, gleu: 0.0179104477612, ribes: 0.0, chrf: 0.1541427298
loss: 72.0682601929, bleu: 0.0, gleu: 0.0126865671642, ribes: 0.0, chrf: 0.134715303149
loss: 68.6630401611, bleu: 0.0, gleu: 0.0171641791045, ribes: 0.0, chrf: 0.151923578357
loss: 72.0000762939, bleu: 0.0, gleu: 0.00970149253731, ribes: 0.0, chrf: 0.121229507646
loss: 67.6834564209, bleu: 0.0, gleu: 0.00671641791045, ribes: 0.0, chrf: 0.12354913229
loss: 70.4954299927, bleu: 0.01463, gleu: 0.0280758370311, ribes: 0.0, chrf: 0.168968215417
loss: 63.9145622253, bleu: 0.0, gleu: 0.0170999357567, ribes: 0.0, chrf: 0.14891088002
loss: 67.8109283447, bleu: 0.0, gleu: 0.015530455829, ribes: 0.0, chrf: 0.150096885872
loss: 63.3298034668, bleu: 0.0, gleu: 0.0103065752319, ribes: 0.0, chrf: 0.14194753562
loss: 69.4978408813, bleu: 0.0, gleu: 0.0164380798709, ribes: 0.0, chrf: 0.140975376355
loss: 66.1292114258, bleu: 0.0, gleu: 0.00839552238806, ribes: 0.0, chrf: 0.143776322102
loss: 65.7740631104, bleu: 0.0, gleu: 0.0206534893102, ribes: 0.0, chrf: 0.158136794341
loss: 63.0662231445, bleu: 0.0, gleu: 0.0201895925777, ribes: 0.0, chrf: 0.177166416827
loss: 66.9168395996, bleu: 0.0185, gleu: 0.0443637991451, ribes: 0.0, chrf: 0.207356422227
loss: 61.9684524536, bleu: 0.0, gleu: 0.0252240387886, ribes: 0.0, chrf: 0.19107224321
loss: 64.249206543, bleu: 0.02656, gleu: 0.0567567567568, ribes: 0.0, chrf: 0.215061500244
loss: 62.1875724792, bleu: 0.0, gleu: 0.0320369149637, ribes: 0.0, chrf: 0.193222285046
loss: 62.623085022, bleu: 0.0, gleu: 0.0439930526137, ribes: 0.0, chrf: 0.219633085084
loss: 59.9440803528, bleu: 0.01418, gleu: 0.0496044825313, ribes: 0.0, chrf: 0.214398326232
loss: 64.4614868164, bleu: 0.02663, gleu: 0.0581081081081, ribes: 0.0, chrf: 0.218864317595
loss: 57.3442001343, bleu: 0.01895, gleu: 0.0648912326961, ribes: 0.0, chrf: 0.23029171656
loss: 60.8874435425, bleu: 0.0332875, gleu: 0.0629659832246, ribes: 0.0, chrf: 0.224138637797
loss: 58.6775436401, bleu: 0.022475, gleu: 0.0713167435728, ribes: 0.0, chrf: 0.238727259378
loss: 62.1448554993, bleu: 0.02661, gleu: 0.0621185701831, ribes: 0.0, chrf: 0.226058393991
loss: 58.2839126587, bleu: 0.01792, gleu: 0.0608108108108, ribes: 0.0, chrf: 0.217997078382
loss: 60.0693664551, bleu: 0.02663, gleu: 0.0695964628223, ribes: 0.0, chrf: 0.246426060972
