loss: 74.5291442871, bleu: 0.003978125, gleu: 0.0167910447761, ribes: 0.0, chrf: 0.141732241374
loss: 76.0922470093, bleu: 0.0, gleu: 0.00932835820896, ribes: 0.0, chrf: 0.133640487805
loss: 74.1295623779, bleu: 0.0, gleu: 0.0104944029851, ribes: 0.0, chrf: 0.135396610143
loss: 72.9060440063, bleu: 0.005196875, gleu: 0.021921641791, ribes: 0.0, chrf: 0.161871394903
loss: 72.1312713623, bleu: 0.003978125, gleu: 0.0146921641791, ribes: 0.0, chrf: 0.143590432559
loss: 69.4456710815, bleu: 0.005196875, gleu: 0.021921641791, ribes: 0.0, chrf: 0.166137541925
loss: 68.7337036133, bleu: 0.009509375, gleu: 0.0209888059701, ribes: 0.0, chrf: 0.157220896987
loss: 68.1774291992, bleu: 0.016815625, gleu: 0.0380130597015, ribes: 0.0, chrf: 0.208557502262
loss: 67.4105529785, bleu: 0.009509375, gleu: 0.0242537313433, ribes: 0.0, chrf: 0.172396544819
loss: 67.9676361084, bleu: 0.016815625, gleu: 0.0377798507463, ribes: 0.0, chrf: 0.203848817789
loss: 66.3638687134, bleu: 0.009603125, gleu: 0.0240205223881, ribes: 0.0, chrf: 0.172191552404
loss: 68.0266418457, bleu: 0.016815625, gleu: 0.0377798507463, ribes: 0.0, chrf: 0.203845272849
loss: 67.1324386597, bleu: 0.009603125, gleu: 0.0226212686567, ribes: 0.0, chrf: 0.1638039483
loss: 65.4246826172, bleu: 0.016815625, gleu: 0.0340485074627, ribes: 0.0, chrf: 0.194351910396
loss: 66.5464477539, bleu: 0.009603125, gleu: 0.0247201492537, ribes: 0.0, chrf: 0.171859983485
loss: 65.3670501709, bleu: 0.016815625, gleu: 0.0391791044776, ribes: 0.0, chrf: 0.20856704465
loss: 64.2361602783, bleu: 0.009603125, gleu: 0.027052238806, ribes: 0.0, chrf: 0.18384645314
loss: 63.7776031494, bleu: 0.019271875, gleu: 0.0417444029851, ribes: 0.0, chrf: 0.218349949401
