loss: 84.3097381592, bleu: 0.0, gleu: 0.00970149253731, ribes: 0.0, chrf: 0.152569414062
loss: 83.8552398682, bleu: 0.0, gleu: 0.010447761194, ribes: 0.0, chrf: 0.125032326431
loss: 78.3012390137, bleu: 0.0, gleu: 0.00373134328358, ribes: 0.0, chrf: 0.09819623029
loss: 79.7975006104, bleu: 0.0, gleu: 0.00746268656716, ribes: 0.0, chrf: 0.107601631012
loss: 74.8843612671, bleu: 0.0, gleu: 0.0162767244857, ribes: 0.0, chrf: 0.129120885827
loss: 72.414100647, bleu: 0.0, gleu: 0.0128680919726, ribes: 0.0, chrf: 0.0969605204829
loss: 72.8835296631, bleu: 0.0, gleu: 0.0179104477612, ribes: 0.0, chrf: 0.162966979547
loss: 73.6483306885, bleu: 0.0, gleu: 0.0210770471965, ribes: 0.0, chrf: 0.160330287786
loss: 69.8669509888, bleu: 0.0, gleu: 0.0377773295684, ribes: 0.0, chrf: 0.249048156375
loss: 68.565322876, bleu: 0.0, gleu: 0.0198668818072, ribes: 0.0, chrf: 0.172614567148
loss: 67.4579772949, bleu: 0.0, gleu: 0.0378933037515, ribes: 0.0, chrf: 0.243885134902
loss: 68.7324066162, bleu: 0.0, gleu: 0.0173709156918, ribes: 0.0, chrf: 0.161589586569
loss: 66.3838806152, bleu: 0.0, gleu: 0.0325534489714, ribes: 0.0, chrf: 0.230114451811
loss: 69.506652832, bleu: 0.0, gleu: 0.024667204518, ribes: 0.0, chrf: 0.178526061822
loss: 65.4182739258, bleu: 0.0, gleu: 0.0346828052325, ribes: 0.0, chrf: 0.221702344283
loss: 64.6243362427, bleu: 0.0, gleu: 0.0406129386913, ribes: 0.0, chrf: 0.212154220897
loss: 66.9370574951, bleu: 0.0, gleu: 0.0533825472364, ribes: 0.0, chrf: 0.244510616562
loss: 62.5780105591, bleu: 0.0, gleu: 0.0555615519478, ribes: 0.0, chrf: 0.224041441425
loss: 65.7287521362, bleu: 0.0, gleu: 0.0689189189189, ribes: 0.0, chrf: 0.259318751989
loss: 68.5693893433, bleu: 0.0, gleu: 0.0513513513514, ribes: 0.0, chrf: 0.214066263093
loss: 65.0380477905, bleu: 0.0, gleu: 0.0621621621622, ribes: 0.0, chrf: 0.250688999161
loss: 63.6923942566, bleu: 0.0, gleu: 0.0529653477929, ribes: 0.0, chrf: 0.219748230171
loss: 65.3963928223, bleu: 0.0, gleu: 0.0625, ribes: 0.0, chrf: 0.253359375012
loss: 65.7645263672, bleu: 0.0, gleu: 0.0523648648649, ribes: 0.0, chrf: 0.217789550179
loss: 63.9466323853, bleu: 0.0, gleu: 0.0451143451143, ribes: 0.0, chrf: 0.218105892023
loss: 63.0654830933, bleu: 0.0, gleu: 0.0515151515152, ribes: 0.0, chrf: 0.228015586625
loss: 64.4217529297, bleu: 0.0, gleu: 0.0472972972973, ribes: 0.0, chrf: 0.226114222834
loss: 66.1660842896, bleu: 0.0, gleu: 0.0418918918919, ribes: 0.0, chrf: 0.205472061038
loss: 60.0103034973, bleu: 0.0, gleu: 0.0529246029246, ribes: 0.0, chrf: 0.236597473484
loss: 65.6335906982, bleu: 0.0, gleu: 0.0418918918919, ribes: 0.0, chrf: 0.205415383399
loss: 64.6596298218, bleu: 0.0, gleu: 0.0554054054054, ribes: 0.0, chrf: 0.236170578629
loss: 63.9988899231, bleu: 0.0, gleu: 0.0413595413595, ribes: 0.0, chrf: 0.208444002916
loss: 60.4019088745, bleu: 0.0, gleu: 0.0566337766338, ribes: 0.0, chrf: 0.253447915163
loss: 65.0409393311, bleu: 0.0, gleu: 0.0391891891892, ribes: 0.0, chrf: 0.198919324997
loss: 63.9891738892, bleu: 0.0, gleu: 0.0540540540541, ribes: 0.0, chrf: 0.243982087343
loss: 61.7488174438, bleu: 0.0, gleu: 0.0377764127764, ribes: 0.0, chrf: 0.205143743901
loss: 62.2296943665, bleu: 0.0, gleu: 0.0648648648649, ribes: 0.0, chrf: 0.266972719991
loss: 64.9594955444, bleu: 0.0, gleu: 0.0527027027027, ribes: 0.0, chrf: 0.22701429521
loss: 60.8218688965, bleu: 0.0, gleu: 0.0605276705277, ribes: 0.0, chrf: 0.265437501375
loss: 63.2202377319, bleu: 0.0, gleu: 0.0505405405405, ribes: 0.0, chrf: 0.225150486785
loss: 61.487159729, bleu: 0.0, gleu: 0.060888030888, ribes: 0.0, chrf: 0.26190429244
loss: 64.4530258179, bleu: 0.0, gleu: 0.0513513513514, ribes: 0.0, chrf: 0.22835911346
loss: 59.6965866089, bleu: 0.0, gleu: 0.0692465192465, ribes: 0.0, chrf: 0.278324463747
loss: 62.6544113159, bleu: 0.0, gleu: 0.0459459459459, ribes: 0.0, chrf: 0.216585542938
loss: 62.9262313843, bleu: 0.0, gleu: 0.0729036729037, ribes: 0.0, chrf: 0.28213454906
loss: 63.7687988281, bleu: 0.0, gleu: 0.0567567567568, ribes: 0.0, chrf: 0.244818768603
loss: 61.6364097595, bleu: 0.0, gleu: 0.0624133749134, ribes: 0.0, chrf: 0.263871228824
loss: 61.058052063, bleu: 0.0, gleu: 0.0508687258687, ribes: 0.0, chrf: 0.236804582308
loss: 62.1021614075, bleu: 0.0, gleu: 0.0756756756757, ribes: 0.0, chrf: 0.289344906564
