loss: 76.2816390991, bleu: 0.01176, gleu: 0.0164179104478, ribes: 0.0, chrf: 0.121090770303
loss: 70.9118347168, bleu: 0.0, gleu: 0.0179104477612, ribes: 0.0, chrf: 0.167415933021
loss: 74.3224716187, bleu: 0.00661, gleu: 0.0179104477612, ribes: 0.0, chrf: 0.140226181295
loss: 69.1513671875, bleu: 0.0, gleu: 0.0134328358209, ribes: 0.0, chrf: 0.175140261538
loss: 67.9661102295, bleu: 0.00661, gleu: 0.0231343283582, ribes: 0.0, chrf: 0.163456410131
loss: 66.5552444458, bleu: 0.0, gleu: 0.00820895522388, ribes: 0.0, chrf: 0.159293267003
loss: 64.3616790771, bleu: 0.00661, gleu: 0.0268656716418, ribes: 0.0, chrf: 0.185170615837
loss: 61.2923583984, bleu: 0.01012, gleu: 0.0253731343284, ribes: 0.0, chrf: 0.185341686724
loss: 62.4229660034, bleu: 0.00661, gleu: 0.0283582089552, ribes: 0.0, chrf: 0.181483647933
loss: 59.7144393921, bleu: 0.01012, gleu: 0.0339048003227, ribes: 0.0, chrf: 0.202926005762
loss: 63.4220657349, bleu: 0.0082625, gleu: 0.0242537313433, ribes: 0.0, chrf: 0.17495968514
loss: 65.4980392456, bleu: 0.01265, gleu: 0.0321198063735, ribes: 0.0, chrf: 0.193491902142
loss: 60.9418258667, bleu: 0.0, gleu: 0.0320895522388, ribes: 0.0, chrf: 0.203184718006
loss: 61.8795547485, bleu: 0.01012, gleu: 0.0321298910851, ribes: 0.0, chrf: 0.200186184512
loss: 59.1218452454, bleu: 0.01837, gleu: 0.0522791448165, ribes: 0.0, chrf: 0.230591056821
loss: 58.2165908813, bleu: 0.01842, gleu: 0.0522074313119, ribes: 0.0, chrf: 0.218648524213
loss: 59.2392272949, bleu: 0.02683, gleu: 0.0619232320725, ribes: 0.0, chrf: 0.234308177225
loss: 58.949596405, bleu: 0.01842, gleu: 0.0622817028896, ribes: 0.0, chrf: 0.239856705883
loss: 58.2263908386, bleu: 0.02801, gleu: 0.0661557079468, ribes: 0.0, chrf: 0.246023960843
loss: 59.0843315125, bleu: 0.01841, gleu: 0.0632916498588, ribes: 0.0, chrf: 0.243599174828
loss: 55.1704597473, bleu: 0.02801, gleu: 0.0624627516298, ribes: 0.0, chrf: 0.232663444792
loss: 56.5996398926, bleu: 0.01841, gleu: 0.068041201263, ribes: 0.0, chrf: 0.250033955689
loss: 53.0834884644, bleu: 0.03815, gleu: 0.0667905863801, ribes: 0.0, chrf: 0.229184220665
loss: 55.9122505188, bleu: 0.0230125, gleu: 0.0597136637409, ribes: 0.0, chrf: 0.23933165349
loss: 54.2005081177, bleu: 0.02801, gleu: 0.0708475639819, ribes: 0.0, chrf: 0.262418650687
loss: 57.2411193848, bleu: 0.01841, gleu: 0.0855751099937, ribes: 0.0, chrf: 0.272922459147
loss: 54.7264633179, bleu: 0.02801, gleu: 0.0729082731361, ribes: 0.0, chrf: 0.263580757956
loss: 52.7503852844, bleu: 0.01841, gleu: 0.089125211539, ribes: 0.0, chrf: 0.276658653412
loss: 53.5365486145, bleu: 0.03338, gleu: 0.0885544062529, ribes: 0.0, chrf: 0.278197113851
loss: 51.2390975952, bleu: 0.01841, gleu: 0.0900042578212, ribes: 0.0, chrf: 0.285284107696
loss: 51.4594039917, bleu: 0.03332, gleu: 0.0966280639904, ribes: 0.0, chrf: 0.283987964381
loss: 54.8441352844, bleu: 0.01841, gleu: 0.097095312949, ribes: 0.0, chrf: 0.295296134179
